citing_id,cited_id
1369,1853
1369,1135
1369,1536
1371,2144
1372,5270
1372,249
1372,2243
1372,2382
1372,1470
1372,1905
1372,2447
1373,5270
1373,298
1373,5834
1373,2241
1373,4381
1373,2242
1373,5188
1373,1761
1373,2386
1373,2067
1373,2160
1373,5328
1373,240
1374,4110
1374,1853
1374,5362
1374,254
1374,1857
1374,4434
1374,4387
1374,1858
1374,4072
1374,4812
1374,4817
1374,5283
1374,4734
1374,2016
1374,1263
1374,5521
1374,1990
1375,5836
1375,8
1375,1476
1375,72
1375,1478
1375,2105
1375,1625
1375,1496
1375,1640
1376,5270
1376,298
1376,2192
1376,2241
1376,2242
1376,2243
1377,2053
1378,298
1378,2194
1378,1231
1378,2157
1378,1281
1378,1206
1378,1689
1380,1672
1380,2449
1381,72
1381,1478
1381,1640
1381,1501
1382,2384
1382,1954
1382,1868
1382,2341
1382,1424
1382,2162
1382,4774
1382,2165
1382,1882
1382,1738
1382,2365
1382,1265
1382,2368
1382,5928
1383,5270
1383,298
1383,2241
1383,4381
1383,5227
1383,5401
1383,2382
1383,2052
1383,1761
1383,2386
1383,1188
1383,2209
1383,1912
1383,1530
1383,1730
1383,2082
1383,2408
1384,3448
1385,5836
1385,8
1385,1476
1385,72
1385,1478
1385,2105
1385,1625
1385,2118
1385,1496
1385,1501
1386,4110
1386,4480
1386,4577
1386,4763
1386,2199
1386,353
1386,5452
1386,2157
1386,5460
1386,3703
1386,4351
1386,4051
1387,2430
1387,5445
1387,2479
1387,2151
1387,2575
1387,2338
1387,1633
1387,2543
1387,2544
1389,1867
1389,2341
1389,5879
1390,303
1390,2144
1390,1180
1390,1518
1390,2100
1390,1523
1390,1870
1390,2505
1390,1272
1391,298
1391,101
1391,2193
1391,4108
1391,1230
1391,2437
1391,3925
1391,2301
1391,4776
1391,1247
1391,1629
1391,3765
1391,1697
1392,8
1392,1476
1392,72
1392,1478
1393,5834
1393,5226
1393,14
1393,1135
1393,261
1393,1137
1393,2345
1394,4774
1395,1132
1395,153
1396,1854
1396,2099
1396,1661
1396,1525
1396,3986
1396,2172
1396,1541
1397,2241
1397,2242
1397,2096
1397,2243
1397,61
1397,2049
1397,1856
1397,1241
1397,2115
1397,2311
1398,1466
1398,1661
1398,1907
1398,2084
1399,1478
1399,1625
1400,1183
1400,2021
1400,2317
2214,1401
2022,1401
3590,1402
164,1403
1613,1403
2585,1403
2364,1403
2038,1403
1266,1403
2372,1403
1454,1403
1656,1403
1500,1404
1733,1405
1818,1406
2562,1408
81,1409
1462,1412
1517,1417
2433,1417
1273,1417
987,1417
2627,1417
5192,1417
1763,1417
5143,1417
3265,1417
2343,1417
2773,1417
5195,1417
5805,1417
325,1417
3270,1417
3360,1417
1771,1417
2636,1417
2351,1417
2392,1417
2264,1417
2077,1417
2445,1417
1528,1417
1246,1417
2446,1417
1775,1417
3512,1417
2925,1417
2213,1417
2009,1417
2010,1417
849,1417
1291,1417
1294,1417
2171,1417
1154,1417
3284,1417
3520,1417
5472,1417
3670,1417
817,1417
1599,1417
2363,1417
2367,1417
1168,1417
240,1417
2755,1417
4239,1417
344,1417
5438,1417
2046,1417
1370,1418
2195,1418
2097,1418
2480,1418
2245,1418
1517,1418
118,1418
3451,1418
1711,1418
164,1418
1956,1418
1613,1418
3499,1418
2206,1418
2532,1418
2826,1418
3266,1418
1189,1418
2295,1418
2296,1418
3360,1418
1817,1418
2776,1418
1620,1418
2106,1418
2496,1418
1528,1418
2590,1418
1723,1418
806,1418
3473,1418
1585,1418
1151,1418
1781,1418
1782,1418
3285,1418
2359,1418
3717,1418
2845,1418
2513,1418
1370,1419
1707,1419
2196,1419
2097,1419
2767,1419
2147,1419
1999,1419
117,1419
3451,1419
1711,1419
1420,1419
3499,1419
2915,1419
2206,1419
2208,1419
1186,1419
3265,1419
3598,1419
2532,1419
2344,1419
3028,1419
3270,1419
2296,1419
3360,1419
3168,1419
3068,1419
2776,1419
1620,1419
2728,1419
2983,1419
3508,1419
2106,1419
