	doi	registration_agency
527	10.1016/j.quaint.2012.04.033	Crossref
528	10.1093/envhis/emt105	Crossref
529	10.1002/2015JD023287	Crossref
530	10.22323/2.15010201	Crossref
531	10.1038/s41598-018-27185-8	Crossref
532	10.1596/1813-9450-7855	Crossref
533	10.1558/jga.v1i1.1	Crossref
534	10.2307/40035272	Crossref
535	10.1038/ncomms12349	Crossref
536	10.1038/srep24881	Crossref
537	10.1002/ppp.1919	Crossref
538	10.1002/wat2.1105	Crossref
539	10.1016/j.scitotenv.2019.02.070	Crossref
540	10.5194/tc-11-47-2017	Crossref
541	10.1002/2014WR016716	Crossref
542	10.1002/9781118368909.ch12	Crossref
543	10.5194/tc-9-197-2015	Crossref
544	10.1558/ijsnr.v5i2.26233	Crossref
545	10.4000/rga.2896	Crossref
546	10.1007/s10113-019-01465-z	Crossref
547	10.1016/j.catena.2015.03.020	Crossref
548	10.1371/journal.pone.0098812	Crossref
549	10.3189/2013JoG12J091	Crossref
550	10.1002/ldr.3140	Crossref
551	10.3189/172756501781832179	Crossref
552	10.1073/pnas.1720141115	Crossref
553	10.1038/nclimate2656	Crossref
554	10.1016/j.catena.2016.07.032	Crossref
555	10.1017/aog.2017.13	Crossref
556	10.3189/172756405781812600	Crossref
557	10.1029/2018GL077605	Crossref
558	10.1007/s10346-017-0862-3	Crossref
559	10.1093/aobpla/plw004	Crossref
560	10.1080/17445647.2015.1071720	Crossref
561	10.1016/B978-0-12-394849-6.00016-0	Crossref
562	10.1016/j.geomorph.2008.10.008	Crossref
563	10.4000/rga.1481	Crossref
564	10.1038/s41586-018-0715-9	Crossref
565	10.1002/2014RG000466	Crossref
566	10.1111/jvs.12575	Crossref
567	10.3727/108354216X14537459509053	Crossref
568	10.1002/ppp.1763	Crossref
569	10.1038/s41561-019-0300-3	Crossref
570	10.1093/biosci/bix107	Crossref
571	10.1111/gcb.14454	Crossref
572	10.1002/lno.10088	Crossref
573	10.1007/s10021-014-9777-1	Crossref
574	10.1002/ldr.3063	Crossref
575	10.1007/s00035-016-0179-1	Crossref
576	10.5194/gmd-5-1245-2012	Crossref
577	10.1080/2157930X.2017.1281210	Crossref
578	10.1111/fwb.12740	Crossref
579	10.1111/j.1466-8238.2012.00766.x	Crossref
580	10.5194/tc-10-2941-2016	Crossref
581	10.1002/esp.3355	Crossref
582	10.5194/nhess-12-241-2012	Crossref
583	10.1080/07011784.2014.942164	Crossref
584	10.1002/2016GL071485	Crossref
585	10.1016/j.rse.2018.03.041	Crossref
586	10.1038/nclimate3361	Crossref
587	10.1002/2014WR016728	Crossref
588	10.1111/geb.12774	Crossref
589	10.1038/s41598-018-28808-w	Crossref
590	10.5194/hess-18-2695-2014	Crossref
591	10.5194/nhess-10-339-2010	Crossref
592	10.5194/tc-9-427-2015	Crossref
593	10.1016/j.scitotenv.2013.06.038	Crossref
594	10.5194/nhess-13-1827-2013	Crossref
595	10.1029/2018GL079734	Crossref
596	10.1080/15022250.2012.748507	Crossref
597	10.1016/j.catena.2017.07.005	Crossref
598	10.1002/wcc.315	Crossref
599	10.7927/H44747X4	DataCite
600	10.1038/s41612-018-0030-z	Crossref
601	10.1016/j.gloplacha.2017.05.001	Crossref
602	10.1016/j.gloplacha.2010.10.003	Crossref
603	10.1038/ngeo1450	Crossref
604	10.5194/tc-7-1263-2013	Crossref
605	10.1126/science.1234532	Crossref
606	10.1080/02508281.2002.11081370	Crossref
607	10.1007/s11069-006-9038-5	Crossref
608	10.1007/s11269-015-1216-3	Crossref
609	10.1007/s11269-013-0458-1	Crossref
610	10.1016/j.scitotenv.2013.10.012	Crossref
611	10.5194/tc-8-1589-2014	Crossref
612	10.1191/0959683605hl812rr	Crossref
613	10.1016/j.enggeo.2005.06.028	Crossref
614	10.1016/j.ecocom.2014.11.006	Crossref
615	10.1016/j.envsci.2012.03.007	Crossref
616	10.1659/MRD-JOURNAL-D-15-00011.1	Crossref
617	10.1017/aog.2018.26	Crossref
618	10.1111/gcb.13565	Crossref
619	10.1086/679490	Crossref
620	10.1007/s00382-013-1743-7	Crossref
621	10.5194/tc-12-2883-2018	Crossref
622	10.1002/2015GL064838	Crossref
623	10.1029/2011JF002258	Crossref
624	10.1111/ruso.12001	Crossref
625	10.1111/plb.12643	Crossref
626	10.5194/tc-8-1479-2014	Crossref
627	10.1007/s10584-013-0718-3	Crossref
628	10.1080/10225706.2013.790830	Crossref
629	10.1016/j.jglr.2017.08.011	Crossref
630	10.1073/pnas.1319316111	Crossref
631	10.1016/j.ppees.2017.09.008	Crossref
632	10.1659/MRD-JOURNAL-D-17-00093.1	Crossref
