Source,Target,Type,Id,Label,Weight
122,107,Directed,581569,,1
106,107,Directed,579481,,4
102,107,Directed,578597,,1
101,107,Directed,578229,,4
124,5947,Directed,581778,,2
124,5671,Directed,581774,,1
124,5433,Directed,581772,,1
124,5235,Directed,581767,,1
124,4950,Directed,581765,,1
124,4854,Directed,581764,,1
124,4624,Directed,581763,,1
124,4405,Directed,581762,,1
124,4361,Directed,581760,,1
124,4343,Directed,581759,,1
124,4305,Directed,581758,,1
124,4301,Directed,581757,,1
124,4257,Directed,581756,,1
124,4200,Directed,581755,,1
124,4169,Directed,581754,,1
124,3982,Directed,581753,,1
124,3969,Directed,581752,,1
124,3925,Directed,581751,,1
124,3901,Directed,581750,,1
124,3875,Directed,581749,,1
124,3868,Directed,581748,,1
124,1422,Directed,581722,,1
124,310,Directed,581717,,1
124,308,Directed,581716,,1
124,270,Directed,581714,,1
124,205,Directed,581712,,1
124,128,Directed,581706,,1
124,6,Directed,581703,,1
4290,124,Directed,726513,,1
127,5513,Directed,582102,,1
127,5455,Directed,582101,,1
127,5305,Directed,582099,,1
127,5189,Directed,582098,,2
127,5184,Directed,582097,,1
127,5093,Directed,582096,,4
127,5054,Directed,582095,,1
127,5051,Directed,582094,,2
127,5013,Directed,582093,,1
127,4987,Directed,582092,,1
127,4977,Directed,582091,,1
127,4954,Directed,582090,,2
127,4910,Directed,582089,,1
127,4873,Directed,582088,,1
127,4867,Directed,582087,,1
127,4855,Directed,582086,,1
127,4828,Directed,582085,,1
127,4796,Directed,582084,,1
127,4717,Directed,582083,,1
127,4670,Directed,582082,,1
127,4581,Directed,582081,,3
127,4550,Directed,582080,,1
127,4546,Directed,582079,,1
127,4541,Directed,582078,,1
127,4463,Directed,582076,,1
127,4430,Directed,582075,,1
127,4422,Directed,582074,,1
127,4405,Directed,582073,,1
127,4390,Directed,582072,,1
127,4249,Directed,582071,,1
127,4246,Directed,582070,,3
127,4231,Directed,582069,,1
127,4205,Directed,582068,,1
127,4138,Directed,582067,,1
127,4134,Directed,582066,,1
127,4121,Directed,582065,,1
127,4108,Directed,582064,,1
127,4018,Directed,582063,,1
127,3982,Directed,582062,,1
127,3975,Directed,582061,,1
127,3972,Directed,582060,,1
127,3966,Directed,582059,,1
127,3908,Directed,582058,,1
127,3893,Directed,582057,,1
127,3881,Directed,582056,,1
127,3875,Directed,582055,,1
127,3848,Directed,582054,,1
127,3841,Directed,582053,,1
127,3839,Directed,582052,,1
127,3835,Directed,582051,,1
127,3807,Directed,582050,,1
127,3782,Directed,582049,,1
127,3659,Directed,582048,,1
127,3627,Directed,582047,,1
127,3562,Directed,582046,,2
127,2997,Directed,582041,,1
127,2718,Directed,582039,,1
127,2227,Directed,582038,,1
127,2135,Directed,582034,,1
127,345,Directed,582032,,1
127,315,Directed,582031,,1
127,17,Directed,582029,,1
127,7,Directed,582028,,1
5015,127,Directed,738726,,1
4826,127,Directed,736197,,1
4764,127,Directed,735350,,1
4427,127,Directed,729448,,1
4224,127,Directed,725144,,1
3917,127,Directed,717347,,1
3600,127,Directed,709910,,1
1682,127,Directed,637740,,1
114,127,Directed,580704,,1
128,5984,Directed,582314,,1
128,5947,Directed,582312,,3
128,5901,Directed,582311,,1
128,5769,Directed,582309,,1
128,5752,Directed,582307,,2
128,5682,Directed,582305,,1
128,5582,Directed,582300,,1
128,5581,Directed,582299,,1
128,5579,Directed,582298,,4
128,5576,Directed,582297,,1
128,5575,Directed,582296,,1
128,5557,Directed,582295,,1
128,5530,Directed,582294,,2
128,5435,Directed,582292,,3
128,5433,Directed,582290,,1
128,5422,Directed,582289,,1
128,5399,Directed,582288,,1
128,5359,Directed,582287,,1
128,5321,Directed,582286,,1
128,5318,Directed,582285,,1
128,5317,Directed,582284,,1
128,5315,Directed,582283,,1
128,5285,Directed,582282,,1
128,5271,Directed,582281,,1
128,5240,Directed,582279,,1
128,5230,Directed,582278,,1
128,5187,Directed,582277,,1
128,5127,Directed,582276,,1
128,5118,Directed,582275,,1
128,5095,Directed,582274,,2
128,5091,Directed,582273,,1
128,5075,Directed,582272,,1
128,5051,Directed,582271,,2
128,4989,Directed,582270,,1
128,4983,Directed,582269,,1
128,4982,Directed,582268,,2
128,4977,Directed,582267,,1
128,4974,Directed,582266,,1
128,4969,Directed,582265,,1
128,4966,Directed,582264,,1
128,4962,Directed,582263,,1
128,4960,Directed,582262,,1
128,4959,Directed,582261,,1
128,4957,Directed,582260,,1
128,4954,Directed,582259,,2
128,4950,Directed,582258,,4
128,4887,Directed,582257,,1
128,4885,Directed,582256,,1
128,4873,Directed,582255,,1
128,4867,Directed,582254,,2
128,4859,Directed,582253,,2
128,4857,Directed,582252,,1
128,4854,Directed,582251,,3
128,4807,Directed,582248,,1
128,4796,Directed,582247,,1
128,4731,Directed,582245,,1
128,4717,Directed,582244,,1
128,4715,Directed,582243,,4
128,4645,Directed,582242,,1
128,4644,Directed,582241,,1
128,4581,Directed,582240,,1
128,4571,Directed,582239,,1
128,4558,Directed,582237,,1
128,4530,Directed,582235,,1
128,4512,Directed,582234,,1
128,4501,Directed,582233,,1
128,4489,Directed,582232,,1
128,4483,Directed,582231,,1
128,4463,Directed,582230,,1
128,4459,Directed,582229,,1
128,4456,Directed,582228,,1
128,4449,Directed,582227,,1
